State,Gender,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
Washington,,Master,,0.0,1000.0,0,Personal Auto,Four-Door Car,2.704934
Arizona,Female,Bachelor,697954.0,0.0,94.0,0,Personal Auto,Four-Door Car,1131.464935
Nevada,Female,Bachelor,1288743.0,48767.0,108.0,0,Personal Auto,Two-Door Car,566.472247
California,Male,Bachelor,764586.0,0.0,106.0,0,Corporate Auto,SUV,529.881344
Washington,Male,High School or Below,536308.0,36357.0,68.0,0,Personal Auto,Four-Door Car,17.269323
Oregon,Female,Bachelor,825630.0,62902.0,69.0,0,Personal Auto,Two-Door Car,159.383042
Oregon,Female,College,538090.0,55350.0,67.0,0,Corporate Auto,Four-Door Car,321.6
Arizona,Male,Master,721610.0,0.0,101.0,0,Corporate Auto,Four-Door Car,363.02968
Oregon,Male,Bachelor,2412750.0,14072.0,71.0,0,Corporate Auto,Four-Door Car,511.2
Oregon,Female,College,738818.0,28812.0,93.0,0,Special Auto,Four-Door Car,425.527834
California,Male,College,473899.0,0.0,67.0,0,Personal Auto,Four-Door Car,482.4
California,,College,819720.0,0.0,110.0,0,Personal Auto,SUV,528.0
California,,Master,879880.0,77026.0,110.0,2,Corporate Auto,Four-Door Car,472.029737
Arizona,,High School or Below,881902.0,99845.0,110.0,1,Corporate Auto,SUV,528.0
California,,College,538443.0,83689.0,70.0,2,Corporate Auto,Four-Door Car,307.139132
Oregon,,Bachelor,746314.0,24599.0,64.0,1,Corporate Auto,Four-Door Car,42.920271
Nevada,,High School or Below,256687.0,25049.0,67.0,0,Personal Auto,Two-Door Car,454.245098
Cali,,College,394524.0,28855.0,101.0,0,Personal Auto,SUV,647.442031
Oregon,,College,571033.0,51148.0,72.0,0,Personal Auto,Four-Door Car,308.981664
California,,High School or Below,816262.0,66140.0,101.0,0,Corporate Auto,Four-Door Car,484.8
Oregon,,High School or Below,287205.0,57749.0,74.0,0,Personal Auto,Two-Door Car,355.2
Washington,Male,Bachelors,617711.0,61040.0,79.0,1,Personal Auto,Two-Door Car,20.382876
Arizona,,Bachelor,2412750.0,14072.0,71.0,0,Personal Auto,Four-Door Car,511.2
Nevada,,Bachelor,245019.0,0.0,73.0,3,Corporate Auto,Four-Door Car,554.376763
California,,Bachelor,239211.0,17870.0,61.0,0,Corporate Auto,Four-Door Car,439.2
Oregon,,College,580207.0,97541.0,72.0,0,Personal Auto,Four-Door Car,389.185006
California,,Bachelor,394637.0,0.0,111.0,0,Personal Auto,Four-Door Car,799.2
Washington,Male,College,916206.0,29723.0,80.0,0,Personal Auto,Four-Door Car,20.985105
Arizona,,College,1290256.0,86584.0,111.0,2,Personal Auto,Four-Door Car,532.8
Oregon,,Master,323536.0,75690.0,80.0,1,Personal Auto,Four-Door Car,384.0
Arizona,,College,245458.0,23158.0,63.0,1,Personal Auto,Four-Door Car,322.294043
Nevada,,High School or Below,1897546.0,65999.0,237.0,0,Corporate Auto,Luxury SUV,615.927769
California,,Bachelor,471532.0,0.0,65.0,0,Personal Auto,Four-Door Car,308.15089
Washington,Female,College,473787.0,0.0,130.0,0,Personal Auto,SUV,23.820158
Oregon,,Bachelor,493292.0,37260.0,62.0,0,Corporate Auto,Four-Door Car,15.437681
Arizona,,High School or Below,574423.0,68987.0,71.0,0,Personal Auto,Four-Door Car,204.475147
California,,Bachelor,1389174.0,42305.0,117.0,0,Personal Auto,Four-Door Car,561.6
Oregon,,Master,738098.0,65706.0,91.0,0,Personal Auto,Four-Door Car,436.8
Oregon,,Bachelor,309003.0,0.0,90.0,0,Personal Auto,Two-Door Car,648.0
Arizona,,High School or Below,252163.0,53243.0,66.0,2,Personal Auto,Four-Door Car,157.397849
Nevada,,High School or Below,265206.0,0.0,70.0,1,Corporate Auto,Two-Door Car,484.318536
Oregon,,College,277104.0,50071.0,71.0,0,Corporate Auto,Two-Door Car,18.918935
California,,Bachelor,393901.0,60021.0,99.0,0,Personal Auto,Four-Door Car,882.871945
Arizona,,High School or Below,1223188.0,43244.0,103.0,0,Personal Auto,Sports Car,494.4
Washington,Male,Doctor,495166.0,46896.0,35354.0,1,Personal Auto,Four-Door Car,31.707317
Oregon,,Doctor,1281910.0,10105.0,172.0,3,Personal Auto,SUV,0.517753
Arizona,,Bachelor,446851.0,0.0,73.0,3,Personal Auto,Four-Door Car,579.165954
Oregon,,High School or Below,551434.0,23218.0,71.0,0,Personal Auto,Two-Door Car,447.79344
California,,Bachelor,334388.0,0.0,92.0,0,Corporate Auto,Four-Door Car,529.624084
Arizona,,High School or Below,229448.0,0.0,62.0,0,Personal Auto,Four-Door Car,313.023175
Oregon,,College,3670743.0,24804.0,104.0,0,Personal Auto,SUV,593.830288
California,,Bachelor,3347335.0,33190.0,106.0,0,Corporate Auto,SUV,508.8
Nevada,,High School or Below,798343.0,36014.0,69.0,3,Special Auto,Four-Door Car,173.956072
Washington,Female,Master,487938.0,67163.0,61.0,2,Personal Auto,Two-Door Car,33.192803
California,,Bachelor,429400.0,16701.0,113.0,0,Personal Auto,Four-Door Car,831.625979
Arizona,,College,716440.0,46623.0,91.0,0,Corporate Auto,Four-Door Car,436.8
California,,College,761952.0,64749.0,64.0,0,Special Auto,Four-Door Car,302.56519
Arizona,,High School or Below,395800.0,0.0,101.0,0,Personal Auto,SUV,484.8
Oregon,,High School or Below,449949.0,16969.0,124.0,2,Personal Auto,SUV,704.768111
Oregon,,Master,405957.0,11621.0,108.0,0,Personal Auto,Four-Door Car,518.4
Arizona,,Bachelor,445811.0,17622.0,65.0,1,Personal Auto,Four-Door Car,312.0
California,,Bachelor,811033.0,11489.0,105.0,0,Personal Auto,Two-Door Car,504.0
Oregon,,Bachelor,333976.0,0.0,94.0,0,Personal Auto,Two-Door Car,863.327324
California,,High School or Below,2426102.0,66525.0,100.0,0,Personal Auto,SUV,104.331355
Arizona,,Bachelor,661397.0,0.0,63.0,0,Personal Auto,Four-Door Car,676.391482
Washington,,College,293069.0,33663.0,73.0,0,Personal Auto,Four-Door Car,350.4
Oregon,,College,867219.0,22547.0,112.0,0,Corporate Auto,SUV,537.6
Arizona,,High School or Below,1163867.0,61486.0,97.0,0,Personal Auto,Two-Door Car,465.258644
Oregon,,Bachelor,684615.0,0.0,95.0,0,Personal Auto,Two-Door Car,456.0
California,,College,1172778.0,29879.0,102.0,0,Personal Auto,Four-Door Car,500.254235
Oregon,,High School or Below,2264383.0,93011.0,113.0,0,Personal Auto,SUV,281.451042
Oregon,,Master,261447.0,65186.0,65.0,0,Personal Auto,Two-Door Car,5.434505
Oregon,,Master,245175.0,26840.0,64.0,2,Personal Auto,Four-Door Car,307.2
Oregon,,Bachelor,678127.0,0.0,104.0,1,Personal Auto,Sports Car,982.399613
Oregon,,Bachelor,497480.0,75644.0,65.0,3,Personal Auto,Two-Door Car,467.803638
